id;name;muscleGroup;equipment;movementPattern;level;goals;defaultSets;repsMin;repsMax;restSeconds;tags;alternatives
wger-960-kettlebell-swing;Kettlebell Swing;Core;Kettlebell;Core;Intermediate;FatLoss|Definition|MuscleGain|Fitness;3;12;20;60;wger|core|kettlebell|anterior-deltoid|gluteus-maximus;
wger-961-swimming-50m-sprints;Swimming 50m sprints;Other;Bodyweight;Bodyweight;Intermediate;FatLoss|Definition|MuscleGain|Fitness;3;8;12;90;wger|other|bodyweight;
wger-57-bear-walk-2;Bear Walk 2;Chest;none (bodyweight exercise);HorizontalPush;Intermediate;FatLoss|Definition|MuscleGain|Fitness;3;8;12;90;wger|chest|none-bodyweight-exercise|horizontalpush|anterior-deltoid|gastrocnemius|pectoralis-major;
wger-975-one-handed-kettlebell-curls;one-handed kettlebell curls;Arms;Kettlebell;Isolation;Intermediate;FatLoss|Definition|MuscleGain|Fitness;3;12;15;75;wger|arms|kettlebell|isolation|biceps-brachii;
wger-976-medicine-ball-booklet-crunch;Medicine ball booklet crunch;Core;none (bodyweight exercise);Core;Intermediate;FatLoss|Definition|MuscleGain|Fitness;3;12;20;60;wger|core|none-bodyweight-exercise|rectus-abdominis;
wger-977-box-squat;Box squat;Core;none (bodyweight exercise);Core;Intermediate;FatLoss|Definition|MuscleGain|Fitness;3;12;20;60;wger|core|none-bodyweight-exercise|gluteus-maximus|quadriceps-femoris|soleus;
wger-978-knee-raises;Knee Raises;Core;Bodyweight;Core;Intermediate;FatLoss|Definition|MuscleGain|Fitness;3;12;20;60;wger|core|bodyweight|rectus-abdominis;
wger-804-sloper-hanging;Sloper hanging;Arms;none (bodyweight exercise);Isolation;Intermediate;FatLoss|Definition|MuscleGain|Fitness;3;12;15;75;wger|arms|none-bodyweight-exercise|isolation;
wger-41-barbell-ab-rollout;Barbell Ab Rollout;Core;Barbell;Core;Intermediate;FatLoss|Definition|MuscleGain|Fitness;3;12;20;60;wger|core|barbell|obliquus-externus-abdominis;
wger-962-elliptical;Elliptical;Legs;none (bodyweight exercise);Other;Intermediate;FatLoss|Definition|MuscleGain|Fitness;3;8;12;120;wger|legs|none-bodyweight-exercise|other|gluteus-maximus|quadriceps-femoris|trapezius;
wger-983-high-knees;High knees;Other;none (bodyweight exercise);Other;Intermediate;FatLoss|Definition|MuscleGain|Fitness;3;8;12;90;wger|other|none-bodyweight-exercise;
wger-821-pullup-on-fingerboard;Pullup on fingerboard;Arms;none (bodyweight exercise);Isolation;Intermediate;FatLoss|Definition|MuscleGain|Fitness;3;12;15;75;wger|arms|none-bodyweight-exercise|isolation;
wger-985-push-up-rotations;Push-up rotations;Arms;none (bodyweight exercise);Isolation;Intermediate;FatLoss|Definition|MuscleGain|Fitness;3;12;15;75;wger|arms|none-bodyweight-exercise|isolation;
wger-990-kneeling-kickbacks;Kneeling kickbacks;Legs;none (bodyweight exercise);Squat;Intermediate;FatLoss|Definition|MuscleGain|Fitness;3;8;12;120;wger|legs|none-bodyweight-exercise|squat;
wger-909-reverse-nordic-curl;Reverse Nordic Curl;Legs;Bodyweight;Squat;Intermediate;FatLoss|Definition|MuscleGain|Fitness;3;8;12;120;wger|legs|bodyweight|squat|quadriceps-femoris;
wger-912-straight-bar-cable-curls;Straight Bar Cable Curls;Arms;Bodyweight;Isolation;Intermediate;FatLoss|Definition|MuscleGain|Fitness;3;12;15;75;wger|arms|bodyweight|isolation|biceps-brachii;
wger-924-cable-fly;Cable Fly;Chest;Bodyweight;HorizontalPush;Intermediate;FatLoss|Definition|MuscleGain|Fitness;3;8;12;90;wger|chest|bodyweight|horizontalpush|pectoralis-major;
wger-993-jump-rope-basic-jumps;Jump rope: basic jumps;Other;none (bodyweight exercise);Other;Intermediate;FatLoss|Definition|MuscleGain|Fitness;3;8;12;90;wger|other|none-bodyweight-exercise;
wger-959-trx-rows;TRX Rows;Core;none (bodyweight exercise);Core;Intermediate;FatLoss|Definition|MuscleGain|Fitness;3;12;20;60;wger|core|none-bodyweight-exercise|anterior-deltoid|biceps-brachii|latissimus-dorsi;
wger-979-leg-raises-pull-up-bar;Leg raises pull up bar;Core;Bodyweight;Core;Intermediate;FatLoss|Definition|MuscleGain|Fitness;3;12;20;60;wger|core|bodyweight|rectus-abdominis;
wger-996-mountain-climbers;Mountain climbers;Chest;none (bodyweight exercise);HorizontalPush;Intermediate;FatLoss|Definition|MuscleGain|Fitness;3;8;12;90;wger|chest|none-bodyweight-exercise|horizontalpush;
wger-997-4-count-burpees;4-count burpees;Chest;none (bodyweight exercise);HorizontalPush;Intermediate;FatLoss|Definition|MuscleGain|Fitness;3;8;12;90;wger|chest|none-bodyweight-exercise|horizontalpush;
wger-998-no-push-up-burpees;No push-up burpees;Chest;none (bodyweight exercise);HorizontalPush;Intermediate;FatLoss|Definition|MuscleGain|Fitness;3;8;12;90;wger|chest|none-bodyweight-exercise|horizontalpush;
wger-1000-floor-dips;Floor dips;Arms;none (bodyweight exercise);Isolation;Intermediate;FatLoss|Definition|MuscleGain|Fitness;3;12;15;75;wger|arms|none-bodyweight-exercise|isolation;
wger-1002-child-s-pose;Child's pose;Back;none (bodyweight exercise);Pull;Intermediate;FatLoss|Definition|MuscleGain|Fitness;3;8;12;90;wger|back|none-bodyweight-exercise|pull;
wger-1003-kettlebell-deadlifts;Kettlebell deadlifts;Back;Kettlebell;Pull;Intermediate;FatLoss|Definition|MuscleGain|Fitness;3;8;12;90;wger|back|kettlebell|pull;
wger-112-body-ups;Body-Ups;Arms;none (bodyweight exercise);Isolation;Intermediate;FatLoss|Definition|MuscleGain|Fitness;3;12;15;75;wger|arms|none-bodyweight-exercise|isolation;
wger-79-bent-high-pulls;Bent High Pulls;Shoulders;Dumbbell;VerticalPush;Intermediate;FatLoss|Definition|MuscleGain|Fitness;3;8;12;90;wger|shoulders|dumbbell|verticalpush|trapezius;
wger-1006-chin-tuck;Chin tuck;Back;none (bodyweight exercise);Pull;Intermediate;FatLoss|Definition|MuscleGain|Fitness;3;8;12;90;wger|back|none-bodyweight-exercise|pull;
wger-1007-head-turns;Head turns;Shoulders;none (bodyweight exercise);VerticalPush;Intermediate;FatLoss|Definition|MuscleGain|Fitness;3;8;12;90;wger|shoulders|none-bodyweight-exercise|verticalpush;
wger-1010-back-neck-stretch;Back neck stretch;Back;none (bodyweight exercise);Pull;Intermediate;FatLoss|Definition|MuscleGain|Fitness;3;8;12;90;wger|back|none-bodyweight-exercise|pull;
wger-1630-blaze;Blaze;Shoulders;Bench;Other;Intermediate;FatLoss|Definition|MuscleGain|Fitness;3;8;12;90;wger|shoulders|bench|other|anterior-deltoid|gluteus-maximus|pectoralis-major;
wger-1012-alternating-bicep-curls;Alternating bicep curls;Arms;Dumbbell;Isolation;Intermediate;FatLoss|Definition|MuscleGain|Fitness;3;12;15;75;wger|arms|dumbbell|isolation;
wger-1018-head-tilts;Head tilts;Back;none (bodyweight exercise);Pull;Intermediate;FatLoss|Definition|MuscleGain|Fitness;3;8;12;90;wger|back|none-bodyweight-exercise|pull;
wger-910-nordic-curl;Nordic Curl;Legs;Bodyweight;Squat;Intermediate;FatLoss|Definition|MuscleGain|Fitness;3;8;12;120;wger|legs|bodyweight|squat|biceps-femoris;
wger-913-reverse-preacher-curl-close-grip;Reverse Preacher Curl (Close Grip);Arms;Barbell;Isolation;Intermediate;FatLoss|Definition|MuscleGain|Fitness;3;12;15;75;wger|arms|barbell|isolation|biceps-brachii;
wger-925-smith-machine-slight-incline-press;SMITH MACHINE SLIGHT INCLINE PRESS;Chest;Bodyweight;HorizontalPush;Intermediate;FatLoss|Definition|MuscleGain|Fitness;3;8;12;90;wger|chest|bodyweight|horizontalpush|pectoralis-major;
wger-154-chin-ups;Chin-ups;Back;Bodyweight;Pull;Intermediate;FatLoss|Definition|MuscleGain|Fitness;3;8;12;90;wger|back|bodyweight|pull|latissimus-dorsi;
wger-132-burpees;Burpees;Chest;Bodyweight;HorizontalPush;Intermediate;FatLoss|Definition|MuscleGain|Fitness;3;8;12;90;wger|chest|bodyweight|horizontalpush;
wger-129-chest-press;Chest Press;Chest;Bodyweight;HorizontalPush;Intermediate;FatLoss|Definition|MuscleGain|Fitness;3;8;12;90;wger|chest|bodyweight|horizontalpush|pectoralis-major;
wger-161-cross-bench-dumbbell-pullovers;Cross-Bench Dumbbell Pullovers;Chest;Dumbbell;HorizontalPush;Intermediate;FatLoss|Definition|MuscleGain|Fitness;3;8;12;90;wger|chest|dumbbell|horizontalpush|latissimus-dorsi|pectoralis-major|serratus-anterior;
wger-182-deadhang;Deadhang;Arms;Bodyweight;Isolation;Intermediate;FatLoss|Definition|MuscleGain|Fitness;3;12;15;75;wger|arms|bodyweight|isolation;
wger-177-cycling;Cycling;Other;none (bodyweight exercise);Other;Intermediate;FatLoss|Definition|MuscleGain|Fitness;3;8;12;90;wger|other|none-bodyweight-exercise|obliquus-externus-abdominis|trapezius;
wger-145-cable-woodchoppers;Cable Woodchoppers;Core;Bodyweight;Core;Intermediate;FatLoss|Definition|MuscleGain|Fitness;3;12;20;60;wger|core|bodyweight|obliquus-externus-abdominis;
wger-178-deadbug;Deadbug;Core;Bodyweight;Core;Intermediate;FatLoss|Definition|MuscleGain|Fitness;3;12;20;60;wger|core|bodyweight;
wger-152-chin-up;Chin Up;Back;Bodyweight;Pull;Intermediate;FatLoss|Definition|MuscleGain|Fitness;3;8;12;90;wger|back|bodyweight|pull;
wger-222-facepull;Facepull;Shoulders;Bodyweight;VerticalPush;Intermediate;FatLoss|Definition|MuscleGain|Fitness;3;8;12;90;wger|shoulders|bodyweight|verticalpush|trapezius;
wger-914-reverse-ez-bar-cable-curls;Reverse EZ Bar Cable Curls;Arms;Barbell;Isolation;Intermediate;FatLoss|Definition|MuscleGain|Fitness;3;12;15;75;wger|arms|barbell|isolation|biceps-brachii;
wger-926-machine-chest-fly;Machine chest fly;Chest;Bodyweight;HorizontalPush;Intermediate;FatLoss|Definition|MuscleGain|Fitness;3;8;12;90;wger|chest|bodyweight|horizontalpush|pectoralis-major;
wger-208-dumbbells-on-scott-machine;Dumbbells on Scott Machine;Arms;Bodyweight;Isolation;Intermediate;FatLoss|Definition|MuscleGain|Fitness;3;12;15;75;wger|arms|bodyweight|isolation|biceps-brachii;
wger-301-hyperextensions;Hyperextensions;Back;Bodyweight;Pull;Intermediate;FatLoss|Definition|MuscleGain|Fitness;3;8;12;90;wger|back|bodyweight|pull|trapezius;
wger-285-high-knee-jumps;High Knee Jumps;Arms;Bodyweight;Bodyweight;Intermediate;FatLoss|Definition|MuscleGain|Fitness;3;8;12;90;wger|arms|bodyweight|biceps-femoris|gastrocnemius|quadriceps-femoris;
wger-901-barbell-hip-thrust;Barbell Hip Thrust;Legs;Barbell;Squat;Intermediate;FatLoss|Definition|MuscleGain|Fitness;3;8;12;120;wger|legs|barbell|squat|gluteus-maximus;
wger-915-bus-drivers;BUS DRIVERS;Shoulders;Bodyweight;VerticalPush;Intermediate;FatLoss|Definition|MuscleGain|Fitness;3;8;12;90;wger|shoulders|bodyweight|verticalpush|anterior-deltoid;
wger-279-hand-grip;Hand Grip;Arms;Bodyweight;Isolation;Intermediate;FatLoss|Definition|MuscleGain|Fitness;3;12;15;75;wger|arms|bodyweight|isolation;
wger-292-hip-raise-lying;Hip Raise, Lying;Back;none (bodyweight exercise);Pull;Intermediate;FatLoss|Definition|MuscleGain|Fitness;3;8;12;90;wger|back|none-bodyweight-exercise|pull;
wger-284-hercules-pillars;Hercules Pillars;Arms;Bodyweight;Isolation;Intermediate;FatLoss|Definition|MuscleGain|Fitness;3;12;15;75;wger|arms|bodyweight|isolation|biceps-brachii|brachialis|triceps-brachii;
wger-294-hip-thrust;Hip Thrust;Legs;Barbell;Squat;Intermediate;FatLoss|Definition|MuscleGain|Fitness;3;8;12;120;wger|legs|barbell|squat|gluteus-maximus;
wger-289-high-pull;High Pull;Shoulders;Bodyweight;VerticalPush;Intermediate;FatLoss|Definition|MuscleGain|Fitness;3;8;12;90;wger|shoulders|bodyweight|verticalpush|anterior-deltoid;
wger-297-hollow-hold;Hollow Hold;Core;Bodyweight;Core;Intermediate;FatLoss|Definition|MuscleGain|Fitness;3;12;20;60;wger|core|bodyweight|obliquus-externus-abdominis|rectus-abdominis;
wger-1634-rope-pullover-row;Rope Pullover/row;Back;Bench;Pull;Intermediate;FatLoss|Definition|MuscleGain|Fitness;3;8;12;90;wger|back|bench|pull|latissimus-dorsi;
wger-1637-single-arm-row;Single arm row;Back;Bench;Pull;Intermediate;FatLoss|Definition|MuscleGain|Fitness;3;8;12;90;wger|back|bench|pull|latissimus-dorsi;
wger-1638-barbell-clean-and-press;Barbell Clean and press;Shoulders;Dumbbell;VerticalPush;Intermediate;FatLoss|Definition|MuscleGain|Fitness;3;8;12;90;wger|shoulders|dumbbell|verticalpush|anterior-deltoid|pectoralis-major;
wger-310-incline-dumbbell-row;Incline Dumbbell Row;Back;Dumbbell;Pull;Intermediate;FatLoss|Definition|MuscleGain|Fitness;3;8;12;90;wger|back|dumbbell|pull;
wger-268-good-mornings;Good Mornings;Legs;Bodyweight;Squat;Intermediate;FatLoss|Definition|MuscleGain|Fitness;3;8;12;120;wger|legs|bodyweight|squat|biceps-femoris;
wger-827-front-plate-raise;Front Plate Raise;Shoulders;Bodyweight;VerticalPush;Intermediate;FatLoss|Definition|MuscleGain|Fitness;3;8;12;90;wger|shoulders|bodyweight|verticalpush|anterior-deltoid;
wger-916-smith-press;Smith Press;Shoulders;Bench;VerticalPush;Intermediate;FatLoss|Definition|MuscleGain|Fitness;3;8;12;90;wger|shoulders|bench|verticalpush|anterior-deltoid;
wger-314-isometric-wipers;Isometric Wipers;Chest;none (bodyweight exercise);HorizontalPush;Intermediate;FatLoss|Definition|MuscleGain|Fitness;3;8;12;90;wger|chest|none-bodyweight-exercise|horizontalpush|pectoralis-major;
wger-320-jumping-jacks;Jumping Jacks;Legs;Bodyweight;Squat;Intermediate;FatLoss|Definition|MuscleGain|Fitness;3;8;12;120;wger|legs|bodyweight|squat|quadriceps-femoris;
wger-346-landmine-press;Landmine press;Shoulders;Barbell;VerticalPush;Intermediate;FatLoss|Definition|MuscleGain|Fitness;3;8;12;90;wger|shoulders|barbell|verticalpush|anterior-deltoid;
wger-323-cable-cross-over;Cable Cross-over;Chest;Bodyweight;HorizontalPush;Intermediate;FatLoss|Definition|MuscleGain|Fitness;3;8;12;90;wger|chest|bodyweight|horizontalpush|pectoralis-major;
wger-319-jogging;Jogging;Other;Bodyweight;Bodyweight;Intermediate;FatLoss|Definition|MuscleGain|Fitness;3;8;12;90;wger|other|bodyweight;
wger-395-long-pulley-narrow;Long-Pulley, Narrow;Back;Bodyweight;Pull;Intermediate;FatLoss|Definition|MuscleGain|Fitness;3;8;12;90;wger|back|bodyweight|pull|latissimus-dorsi;
wger-917-straight-bar-cable-front-raise;Straight Bar Cable Front Raise;Shoulders;Barbell;VerticalPush;Intermediate;FatLoss|Definition|MuscleGain|Fitness;3;8;12;90;wger|shoulders|barbell|verticalpush|anterior-deltoid;
wger-957-quadriped-arm-and-leg-raise;Quadriped Arm and Leg Raise;Back;none (bodyweight exercise);Pull;Intermediate;FatLoss|Definition|MuscleGain|Fitness;3;8;12;90;wger|back|none-bodyweight-exercise|pull|anterior-deltoid|gluteus-maximus|serratus-anterior;
wger-394-long-pulley-low-row;Long-Pulley (low Row);Back;Bodyweight;Pull;Intermediate;FatLoss|Definition|MuscleGain|Fitness;3;8;12;90;wger|back|bodyweight|pull|latissimus-dorsi;
wger-406-lying-rotator-cuff-exercise;Lying Rotator Cuff Exercise;Shoulders;Dumbbell;VerticalPush;Intermediate;FatLoss|Definition|MuscleGain|Fitness;3;8;12;90;wger|shoulders|dumbbell|verticalpush;
wger-423-muscle-up;Muscle up;Back;Bodyweight;Pull;Intermediate;FatLoss|Definition|MuscleGain|Fitness;3;8;12;90;wger|back|bodyweight|pull|biceps-brachii|biceps-femoris;
wger-382-l-hold;L Hold;Core;Bodyweight;Core;Intermediate;FatLoss|Definition|MuscleGain|Fitness;3;12;20;60;wger|core|bodyweight;
wger-468-prone-scapular-retraction-arms-at-side;Prone Scapular Retraction - Arms at Side;Back;Bodyweight;Pull;Intermediate;FatLoss|Definition|MuscleGain|Fitness;3;8;12;90;wger|back|bodyweight|pull|trapezius;
wger-454-pike-push-ups;Pike Push Ups;Arms;none (bodyweight exercise);Isolation;Intermediate;FatLoss|Definition|MuscleGain|Fitness;3;12;15;75;wger|arms|none-bodyweight-exercise|isolation|pectoralis-major;
wger-918-seated-dumbbell-side-lateral;Seated Dumbbell Side Lateral;Shoulders;Dumbbell;VerticalPush;Intermediate;FatLoss|Definition|MuscleGain|Fitness;3;8;12;90;wger|shoulders|dumbbell|verticalpush|anterior-deltoid;
wger-439-overhand-cable-curl;Overhand Cable Curl;Core;Bodyweight;Core;Intermediate;FatLoss|Definition|MuscleGain|Fitness;3;12;20;60;wger|core|bodyweight|biceps-brachii;
wger-495-reverse-curl;Reverse Curl;Arms;Barbell;Isolation;Intermediate;FatLoss|Definition|MuscleGain|Fitness;3;12;15;75;wger|arms|barbell|isolation|biceps-brachii|brachialis;
wger-919-t-bar-row;T-Bar row;Back;Barbell;Pull;Intermediate;FatLoss|Definition|MuscleGain|Fitness;3;8;12;90;wger|back|barbell|pull|latissimus-dorsi|trapezius;
wger-516-front-wood-chop;Front Wood Chop;Back;Bodyweight;Pull;Intermediate;FatLoss|Definition|MuscleGain|Fitness;3;8;12;90;wger|back|bodyweight|pull;
wger-505-roman-chair;Roman Chair;Core;Bodyweight;Core;Intermediate;FatLoss|Definition|MuscleGain|Fitness;3;12;20;60;wger|core|bodyweight;
wger-1635-modified-pulldown;Modified pulldown;Back;Bench;Pull;Intermediate;FatLoss|Definition|MuscleGain|Fitness;3;8;12;90;wger|back|bench|pull|latissimus-dorsi;
wger-1639-dumbbell-bent-over-face-pull;Dumbbell Bent Over Face Pull;Back;Dumbbell;Pull;Intermediate;FatLoss|Definition|MuscleGain|Fitness;3;8;12;90;wger|back|dumbbell|pull|anterior-deltoid|latissimus-dorsi;
wger-1713-doorway-pectoral-stretch;Doorway Pectoral Stretch;Chest;none (bodyweight exercise);HorizontalPush;Intermediate;FatLoss|Definition|MuscleGain|Fitness;3;8;12;90;wger|chest|none-bodyweight-exercise|horizontalpush|pectoralis-major;
wger-527-run;Run;Other;Bodyweight;Bodyweight;Intermediate;FatLoss|Definition|MuscleGain|Fitness;3;8;12;90;wger|other|bodyweight;
wger-539-incline-bench-press-mp;Incline Bench Press - MP;Chest;Bodyweight;HorizontalPush;Intermediate;FatLoss|Definition|MuscleGain|Fitness;3;8;12;90;wger|chest|bodyweight|horizontalpush|pectoralis-major;
wger-500-reverse-plank;Reverse Plank;Core;Bodyweight;Core;Intermediate;FatLoss|Definition|MuscleGain|Fitness;3;12;20;60;wger|core|bodyweight;
wger-577-side-dumbbell-trunk-flexion;Side Dumbbell Trunk Flexion;Core;Dumbbell;Core;Intermediate;FatLoss|Definition|MuscleGain|Fitness;3;12;20;60;wger|core|dumbbell|obliquus-externus-abdominis;
wger-578-side-lying-external-rotation;Side-lying External Rotation;Shoulders;Bodyweight;VerticalPush;Intermediate;FatLoss|Definition|MuscleGain|Fitness;3;8;12;90;wger|shoulders|bodyweight|verticalpush;
wger-595-skipping-standard;Skipping - Standard;Other;Bodyweight;Bodyweight;Intermediate;FatLoss|Definition|MuscleGain|Fitness;3;8;12;90;wger|other|bodyweight|gastrocnemius;
wger-556-side-bends-on-machine;Side Bends on Machine;Core;Dumbbell;Core;Intermediate;FatLoss|Definition|MuscleGain|Fitness;3;12;20;60;wger|core|dumbbell|obliquus-externus-abdominis;
wger-624-stationary-bike;Stationary Bike;Other;Bodyweight;Bodyweight;Intermediate;FatLoss|Definition|MuscleGain|Fitness;3;8;12;90;wger|other|bodyweight;
wger-655-tricep-dumbbell-kickback;Tricep Dumbbell Kickback;Arms;Dumbbell;Isolation;Intermediate;FatLoss|Definition|MuscleGain|Fitness;3;12;15;75;wger|arms|dumbbell|isolation|triceps-brachii;
wger-636-superman;Superman;Back;Bodyweight;Pull;Intermediate;FatLoss|Definition|MuscleGain|Fitness;3;8;12;90;wger|back|bodyweight|pull|gluteus-maximus|latissimus-dorsi;
wger-661-triceps-on-machine;Triceps on Machine;Arms;Bodyweight;Isolation;Intermediate;FatLoss|Definition|MuscleGain|Fitness;3;12;15;75;wger|arms|bodyweight|isolation|triceps-brachii;
wger-623-standing-rope-forearm;Standing Rope Forearm;Arms;Bodyweight;Isolation;Intermediate;FatLoss|Definition|MuscleGain|Fitness;3;12;15;75;wger|arms|bodyweight|isolation;
wger-675-turkish-get-up;Turkish Get-Up;Core;Dumbbell;Core;Intermediate;FatLoss|Definition|MuscleGain|Fitness;3;12;20;60;wger|core|dumbbell|anterior-deltoid|gluteus-maximus|obliquus-externus-abdominis;
wger-922-seated-cable-mid-trap-shrug;SEATED CABLE MID TRAP SHRUG;Back;Bodyweight;Pull;Intermediate;FatLoss|Definition|MuscleGain|Fitness;3;8;12;90;wger|back|bodyweight|pull|latissimus-dorsi;
wger-974-curl-with-kettlebell-two-hands;Curl with kettlebell two hands;Arms;Kettlebell;Isolation;Intermediate;FatLoss|Definition|MuscleGain|Fitness;3;12;15;75;wger|arms|kettlebell|isolation|biceps-brachii;
wger-683-power-clean;Power Clean;Chest;Barbell;HorizontalPush;Intermediate;FatLoss|Definition|MuscleGain|Fitness;3;8;12;90;wger|chest|barbell|horizontalpush|pectoralis-major;
wger-722-weighted-step-ups;Weighted Step-ups;Legs;Bodyweight;Squat;Intermediate;FatLoss|Definition|MuscleGain|Fitness;3;8;12;120;wger|legs|bodyweight|squat;
wger-688-upper-external-oblique;Upper External Oblique;Chest;Bodyweight;HorizontalPush;Intermediate;FatLoss|Definition|MuscleGain|Fitness;3;8;12;90;wger|chest|bodyweight|horizontalpush|obliquus-externus-abdominis;
wger-672-trunk-rotation-with-cable;Trunk Rotation With Cable;Core;Bodyweight;Core;Intermediate;FatLoss|Definition|MuscleGain|Fitness;3;12;20;60;wger|core|bodyweight|obliquus-externus-abdominis;
wger-716-wall-slides;Wall Slides;Back;none (bodyweight exercise);Pull;Intermediate;FatLoss|Definition|MuscleGain|Fitness;3;8;12;90;wger|back|none-bodyweight-exercise|pull|biceps-brachii|biceps-femoris|pectoralis-major;
wger-687-overhead-press;Overhead Press;Chest;Barbell;HorizontalPush;Intermediate;FatLoss|Definition|MuscleGain|Fitness;3;8;12;90;wger|chest|barbell|horizontalpush|anterior-deltoid;
wger-1027-elevated-prayer-stretch;Elevated prayer stretch;Back;Bench;Pull;Intermediate;FatLoss|Definition|MuscleGain|Fitness;3;8;12;90;wger|back|bench|pull|latissimus-dorsi;
wger-1028-quadruped-thoracic-rotation-left;Quadruped thoracic rotation left;Back;none (bodyweight exercise);Pull;Intermediate;FatLoss|Definition|MuscleGain|Fitness;3;8;12;90;wger|back|none-bodyweight-exercise|pull;
wger-1029-quadruped-thoracic-rotation-right;Quadruped thoracic rotation right;Back;none (bodyweight exercise);Pull;Intermediate;FatLoss|Definition|MuscleGain|Fitness;3;8;12;90;wger|back|none-bodyweight-exercise|pull;
wger-1080-hindu-pushups;Hindu Pushups;Shoulders;Bodyweight;VerticalPush;Intermediate;FatLoss|Definition|MuscleGain|Fitness;3;8;12;90;wger|shoulders|bodyweight|verticalpush|anterior-deltoid|pectoralis-major;
wger-1081-shoulder-dislocates;Shoulder dislocates;Shoulders;Bodyweight;VerticalPush;Intermediate;FatLoss|Definition|MuscleGain|Fitness;3;8;12;90;wger|shoulders|bodyweight|verticalpush;
wger-1082-bent-over-row-to-external-rotation;Bent over row to external rotation;Back;Bodyweight;Pull;Intermediate;FatLoss|Definition|MuscleGain|Fitness;3;8;12;90;wger|back|bodyweight|pull;
wger-1083-ywts;YWTs;Back;Bodyweight;Pull;Intermediate;FatLoss|Definition|MuscleGain|Fitness;3;8;12;90;wger|back|bodyweight|pull;
wger-1086-close-grip-press-ups;Close-grip Press-ups;Chest;none (bodyweight exercise);HorizontalPush;Intermediate;FatLoss|Definition|MuscleGain|Fitness;3;8;12;90;wger|chest|none-bodyweight-exercise|horizontalpush|brachialis|latissimus-dorsi|pectoralis-major;
